Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
5,Aplikasi yang sangat membantu dan berguna,Aplikasi yang sangat membantu dan berguna,aplikasi yang sangat membantu dan berguna,aplikasi yang sangat membantu dan berguna,"['aplikasi', 'yang', 'sangat', 'membantu', 'dan', 'berguna']","['aplikasi', 'membantu', 'berguna']",aplikasi bantu guna
5,D. Komang boleh,D Komang boleh,d komang boleh,di komang boleh,"['di', 'komang', 'boleh']",['komang'],komang
5,Sangat membantu sekali kalau malam2 sedang sakit,Sangat membantu sekali kalau malam sedang sakit,sangat membantu sekali kalau malam sedang sakit,sangat membantu sekali kalau malam sedang sakit,"['sangat', 'membantu', 'sekali', 'kalau', 'malam', 'sedang', 'sakit']","['membantu', 'malam', 'sakit']",bantu malam sakit
5,"Jika sibuk atau malu jika ktm dokter langsung , pilih Halocdoc ...",Jika sibuk atau malu jika ktm dokter langsung  pilih Halocdoc ,jika sibuk atau malu jika ktm dokter langsung  pilih halocdoc ,jika sibuk atau malu jika ktm dokter langsung pilih halocdoc,"['jika', 'sibuk', 'atau', 'malu', 'jika', 'ktm', 'dokter', 'langsung', 'pilih', 'halocdoc']","['sibuk', 'malu', 'ktm', 'dokter', 'langsung', 'pilih', 'halocdoc']",sibuk malu ktm dokter langsung pilih halocdoc
5,Mantab fast respon,Mantab fast respon,mantab fast respon,mantab fast respon,"['mantab', 'fast', 'respon']","['mantab', 'fast', 'respon']",mantab fast respon
5,Dokter past respon okelah pokoknya tdk perlu anterin ke RS,Dokter past respon okelah pokoknya tdk perlu anterin ke RS,dokter past respon okelah pokoknya tdk perlu anterin ke rs,dokter pasti respon okelah pokoknya tidak perlu antarkan ke rs,"['dokter', 'pasti', 'respon', 'okelah', 'pokoknya', 'tidak', 'perlu', 'antarkan', 'ke', 'rs']","['dokter', 'respon', 'okelah', 'pokoknya', 'antarkan', 'rs']",dokter respon oke pokok antar rs
5,"Pelayanan Cs nya ramah, aplikasi mudah di gunakan",Pelayanan Cs nya ramah aplikasi mudah di gunakan,pelayanan cs nya ramah aplikasi mudah di gunakan,pelayanan cs ya ramah aplikasi mudah di gunakan,"['pelayanan', 'cs', 'ya', 'ramah', 'aplikasi', 'mudah', 'di', 'gunakan']","['pelayanan', 'cs', 'ya', 'ramah', 'aplikasi', 'mudah']",layan cs ya ramah aplikasi mudah
3,"Apk bagus,tapi saya belum sempat khonsultasi udah di akhiri aja sama dokternya mana slowrespon.",Apk bagustapi saya belum sempat khonsultasi udah di akhiri aja sama dokternya mana slowrespon,apk bagustapi saya belum sempat khonsultasi udah di akhiri aja sama dokternya mana slowrespon,apk bagustapi saya belum sempat khonsultasi sudah di akhiri saja sama dokternya mana slowrespon,"['apk', 'bagustapi', 'saya', 'belum', 'sempat', 'khonsultasi', 'sudah', 'di', 'akhiri', 'saja', 'sama', 'dokternya', 'mana', 'slowrespon']","['apk', 'bagustapi', 'khonsultasi', 'dokternya', 'slowrespon']",apk bagustapi khonsultasi dokter slowrespon
5,"Respon dokter nya cepat,, detail dan jelas",Respon dokter nya cepat detail dan jelas,respon dokter nya cepat detail dan jelas,respon dokter ya cepat detail dan jelas,"['respon', 'dokter', 'ya', 'cepat', 'detail', 'dan', 'jelas']","['respon', 'dokter', 'ya', 'cepat', 'detail']",respon dokter ya cepat detail
5,"Trima kasih,,sangat membantu sekali",Trima kasihsangat membantu sekali,trima kasihsangat membantu sekali,terima kasihsangat membantu sekali,"['terima', 'kasihsangat', 'membantu', 'sekali']","['terima', 'kasihsangat', 'membantu']",terima kasihsangat bantu
4,Pelayanannya bagus..saran dan penanganannya cocok dg keluhan pasien,Pelayanannya bagussaran dan penanganannya cocok dg keluhan pasien,pelayanannya bagussaran dan penanganannya cocok dg keluhan pasien,pelayanannya bagussaran dan penanganannya cocok dengan keluhan pasien,"['pelayanannya', 'bagussaran', 'dan', 'penanganannya', 'cocok', 'dengan', 'keluhan', 'pasien']","['pelayanannya', 'bagussaran', 'penanganannya', 'cocok', 'keluhan', 'pasien']",layan bagussaran tangan cocok keluh pasien
4,"Dokter memberi konsultasi dengan baik. Tapi dlm mejelaskan harus ditanya dulu baru dijelaskan secara baik. Saran, sebaiknya tanpa ditanya kpd pasien yg awam diberi edukasi dgn ilmu kedokterannya.",Dokter memberi konsultasi dengan baik Tapi dlm mejelaskan harus ditanya dulu baru dijelaskan secara baik Saran sebaiknya tanpa ditanya kpd pasien yg awam diberi edukasi dgn ilmu kedokterannya,dokter memberi konsultasi dengan baik tapi dlm mejelaskan harus ditanya dulu baru dijelaskan secara baik saran sebaiknya tanpa ditanya kpd pasien yg awam diberi edukasi dgn ilmu kedokterannya,dokter memberi konsultasi dengan baik tapi dalam mejelaskan harus ditanya dulu baru dijelaskan secara baik saran sebaiknya tanpa ditanya kepada pasien yang awam diberi edukasi dengan ilmu kedokterannya,"['dokter', 'memberi', 'konsultasi', 'dengan', 'baik', 'tapi', 'dalam', 'mejelaskan', 'harus', 'ditanya', 'dulu', 'baru', 'dijelaskan', 'secara', 'baik', 'saran', 'sebaiknya', 'tanpa', 'ditanya', 'kepada', 'pasien', 'yang', 'awam', 'diberi', 'edukasi', 'dengan', 'ilmu', 'kedokterannya']","['dokter', 'konsultasi', 'mejelaskan', 'saran', 'pasien', 'awam', 'edukasi', 'ilmu', 'kedokterannya']",dokter konsultasi mejelaskan saran pasien awam edukasi ilmu dokter
5,Sangat membantu permasalahan saya alami,Sangat membantu permasalahan saya alami,sangat membantu permasalahan saya alami,sangat membantu permasalahan saya alami,"['sangat', 'membantu', 'permasalahan', 'saya', 'alami']","['membantu', 'permasalahan', 'alami']",bantu masalah alami
5,Dokternya sangat jelas menjelaskan semua keluhan pasiennya❤️,Dokternya sangat jelas menjelaskan semua keluhan pasiennya,dokternya sangat jelas menjelaskan semua keluhan pasiennya,dokternya sangat jelas menjelaskan semua keluhan pasiennya,"['dokternya', 'sangat', 'jelas', 'menjelaskan', 'semua', 'keluhan', 'pasiennya']","['dokternya', 'keluhan', 'pasiennya']",dokter keluh pasien
1,Login susah. Pembayaran lewat shopee susah. Bolak balik akun,Login susah Pembayaran lewat shopee susah Bolak balik akun,login susah pembayaran lewat shopee susah bolak balik akun,login susah pembayaran lewat shopee susah bolak balik akun,"['login', 'susah', 'pembayaran', 'lewat', 'shopee', 'susah', 'bolak', 'balik', 'akun']","['login', 'susah', 'pembayaran', 'shopee', 'susah', 'bolak', 'akun']",login susah bayar shopee susah bolak akun
3,setiap mesan oobat selalu dibatalkan,setiap mesan oobat selalu dibatalkan,setiap mesan oobat selalu dibatalkan,setiap mesan oobat selalu dibatalkan,"['setiap', 'mesan', 'oobat', 'selalu', 'dibatalkan']","['mesan', 'oobat', 'dibatalkan']",mesan oobat batal
5,"Sangat membantu disaat sedang gawat darurat, harga terjangkau dan lebih disarankan daripada ke puskesmas.",Sangat membantu disaat sedang gawat darurat harga terjangkau dan lebih disarankan daripada ke puskesmas,sangat membantu disaat sedang gawat darurat harga terjangkau dan lebih disarankan daripada ke puskesmas,sangat membantu disaat sedang gawat darurat harga terjangkau dan lebih disarankan daripada ke puskesmas,"['sangat', 'membantu', 'disaat', 'sedang', 'gawat', 'darurat', 'harga', 'terjangkau', 'dan', 'lebih', 'disarankan', 'daripada', 'ke', 'puskesmas']","['membantu', 'disaat', 'gawat', 'darurat', 'harga', 'terjangkau', 'disarankan', 'puskesmas']",bantu saat gawat darurat harga jangkau saran puskesmas
5,SUKAA!!,SUKAA,sukaa,suka,['suka'],['suka'],suka
1,Udah bayar. Dokternya malah gak bisa dihubungi katanya. Gimana siihhhh. Kalo uang saya kembali atau tu dokter nongol baru saya ganti ratingnya,Udah bayar Dokternya malah gak bisa dihubungi katanya Gimana siihhhh Kalo uang saya kembali atau tu dokter nongol baru saya ganti ratingnya,udah bayar dokternya malah gak bisa dihubungi katanya gimana siihhhh kalo uang saya kembali atau tu dokter nongol baru saya ganti ratingnya,sudah bayar dokternya malah tidak bisa dihubungi katanya bagaimana siihhhh kalau uang saya kembali atau itu dokter nongol baru saya ganti ratingnya,"['sudah', 'bayar', 'dokternya', 'malah', 'tidak', 'bisa', 'dihubungi', 'katanya', 'bagaimana', 'siihhhh', 'kalau', 'uang', 'saya', 'kembali', 'atau', 'itu', 'dokter', 'nongol', 'baru', 'saya', 'ganti', 'ratingnya']","['bayar', 'dokternya', 'dihubungi', 'siihhhh', 'uang', 'dokter', 'nongol', 'ganti', 'ratingnya']",bayar dokter hubung siihhhh uang dokter nongol ganti ratingnya
5,Memudahkan konsultasi kesehatan,Memudahkan konsultasi kesehatan,memudahkan konsultasi kesehatan,memudahkan konsultasi kesehatan,"['memudahkan', 'konsultasi', 'kesehatan']","['memudahkan', 'konsultasi', 'kesehatan']",mudah konsultasi sehat
5,Bagusss banget. Pembelian obat juga gercep dokternya ngasih resep🥰🥰🥰🥰🫶🏻🫶🏻🫶🏻,Bagusss banget Pembelian obat juga gercep dokternya ngasih resep,bagusss banget pembelian obat juga gercep dokternya ngasih resep,bagus banget pembelian obat juga gercep dokternya mengasih resep,"['bagus', 'banget', 'pembelian', 'obat', 'juga', 'gercep', 'dokternya', 'mengasih', 'resep']","['bagus', 'banget', 'pembelian', 'obat', 'gercep', 'dokternya', 'mengasih', 'resep']",bagus banget beli obat gercep dokter asih resep
5,Aplikasinya bagus cara pembayarannya juga gampang banyak pilihannya kalau gak punya mbanking bisa pake ewallet aja ya. Semoga kedepannya makin bagus,Aplikasinya bagus cara pembayarannya juga gampang banyak pilihannya kalau gak punya mbanking bisa pake ewallet aja ya Semoga kedepannya makin bagus,aplikasinya bagus cara pembayarannya juga gampang banyak pilihannya kalau gak punya mbanking bisa pake ewallet aja ya semoga kedepannya makin bagus,aplikasinya bagus cara pembayarannya juga gampang banyak pilihannya kalau tidak punya mbanking bisa pakai ewallet saja ya semoga kedepannya makin bagus,"['aplikasinya', 'bagus', 'cara', 'pembayarannya', 'juga', 'gampang', 'banyak', 'pilihannya', 'kalau', 'tidak', 'punya', 'mbanking', 'bisa', 'pakai', 'ewallet', 'saja', 'ya', 'semoga', 'kedepannya', 'makin', 'bagus']","['aplikasinya', 'bagus', 'pembayarannya', 'gampang', 'pilihannya', 'mbanking', 'pakai', 'ewallet', 'ya', 'semoga', 'kedepannya', 'bagus']",aplikasi bagus bayar gampang pilih mbanking pakai ewallet ya moga depan bagus
5,Puas,Puas,puas,puas,['puas'],['puas'],puas
5,Membantu deteksi dini gejala penyakit,Membantu deteksi dini gejala penyakit,membantu deteksi dini gejala penyakit,membantu deteksi dini gejala penyakit,"['membantu', 'deteksi', 'dini', 'gejala', 'penyakit']","['membantu', 'deteksi', 'gejala', 'penyakit']",bantu deteksi gejala sakit
5,Sangat membantu saat butuh konsultasi di saat tanggal merah atau hari libur karena faskes/praktek dokter tutup,Sangat membantu saat butuh konsultasi di saat tanggal merah atau hari libur karena faskespraktek dokter tutup,sangat membantu saat butuh konsultasi di saat tanggal merah atau hari libur karena faskespraktek dokter tutup,sangat membantu saat butuh konsultasi di saat tanggal merah atau hari libur karena faskespraktek dokter tutup,"['sangat', 'membantu', 'saat', 'butuh', 'konsultasi', 'di', 'saat', 'tanggal', 'merah', 'atau', 'hari', 'libur', 'karena', 'faskespraktek', 'dokter', 'tutup']","['membantu', 'butuh', 'konsultasi', 'tanggal', 'merah', 'libur', 'faskespraktek', 'dokter', 'tutup']",bantu butuh konsultasi tanggal merah libur faskespraktek dokter tutup
2,"Kenapa jadi ga bisa digunakan ya aplikasinya. Tampilannya, gagal menampilkan konten terus",Kenapa jadi ga bisa digunakan ya aplikasinya Tampilannya gagal menampilkan konten terus,kenapa jadi ga bisa digunakan ya aplikasinya tampilannya gagal menampilkan konten terus,kenapa jadi tidak bisa digunakan ya aplikasinya tampilannya gagal menampilkan konten terus,"['kenapa', 'jadi', 'tidak', 'bisa', 'digunakan', 'ya', 'aplikasinya', 'tampilannya', 'gagal', 'menampilkan', 'konten', 'terus']","['ya', 'aplikasinya', 'tampilannya', 'gagal', 'menampilkan', 'konten']",ya aplikasi tampil gagal tampil konten
5,Sangat bagus dan sangat membantu,Sangat bagus dan sangat membantu,sangat bagus dan sangat membantu,sangat bagus dan sangat membantu,"['sangat', 'bagus', 'dan', 'sangat', 'membantu']","['bagus', 'membantu']",bagus bantu
5,Excellent,Excellent,excellent,excellent,['excellent'],['excellent'],excellent
5,"Sangat"" membantu",Sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
5,"dokter nya sangat ramah dan fast respon, terimakasih dokter🫶🙏",dokter nya sangat ramah dan fast respon terimakasih dokter,dokter nya sangat ramah dan fast respon terimakasih dokter,dokter ya sangat ramah dan fast respon terimakasih dokter,"['dokter', 'ya', 'sangat', 'ramah', 'dan', 'fast', 'respon', 'terimakasih', 'dokter']","['dokter', 'ya', 'ramah', 'fast', 'respon', 'terimakasih', 'dokter']",dokter ya ramah fast respon terimakasih dokter
5,Pertama kali nyoba langsung puas dgn pelayanan dokter fitria. Dokter spesialis kandungan,Pertama kali nyoba langsung puas dgn pelayanan dokter fitria Dokter spesialis kandungan,pertama kali nyoba langsung puas dgn pelayanan dokter fitria dokter spesialis kandungan,pertama kali mencoba langsung puas dengan pelayanan dokter fitria dokter spesialis kandungan,"['pertama', 'kali', 'mencoba', 'langsung', 'puas', 'dengan', 'pelayanan', 'dokter', 'fitria', 'dokter', 'spesialis', 'kandungan']","['kali', 'mencoba', 'langsung', 'puas', 'pelayanan', 'dokter', 'fitria', 'dokter', 'spesialis', 'kandungan']",kali coba langsung puas layan dokter fitria dokter spesialis kandung
5,Jika butuh obat di malam hari dan kondisi lemah jadi sangat praktis.,Jika butuh obat di malam hari dan kondisi lemah jadi sangat praktis,jika butuh obat di malam hari dan kondisi lemah jadi sangat praktis,jika butuh obat di malam hari dan kondisi lemah jadi sangat praktis,"['jika', 'butuh', 'obat', 'di', 'malam', 'hari', 'dan', 'kondisi', 'lemah', 'jadi', 'sangat', 'praktis']","['butuh', 'obat', 'malam', 'kondisi', 'lemah', 'praktis']",butuh obat malam kondisi lemah praktis
5,Aplikasi ini cukup membantu untuk konsultasi awal. Dokter cukup komunikatif.,Aplikasi ini cukup membantu untuk konsultasi awal Dokter cukup komunikatif,aplikasi ini cukup membantu untuk konsultasi awal dokter cukup komunikatif,aplikasi ini cukup membantu untuk konsultasi awal dokter cukup komunikatif,"['aplikasi', 'ini', 'cukup', 'membantu', 'untuk', 'konsultasi', 'awal', 'dokter', 'cukup', 'komunikatif']","['aplikasi', 'membantu', 'konsultasi', 'dokter', 'komunikatif']",aplikasi bantu konsultasi dokter komunikatif
5,Bagus dan dokternya kooperatif,Bagus dan dokternya kooperatif,bagus dan dokternya kooperatif,bagus dan dokternya kooperatif,"['bagus', 'dan', 'dokternya', 'kooperatif']","['bagus', 'dokternya', 'kooperatif']",bagus dokter kooperatif
5,"Sangat membantu,dokternya ramah😊",Sangat membantudokternya ramah,sangat membantudokternya ramah,sangat membantudokternya ramah,"['sangat', 'membantudokternya', 'ramah']","['membantudokternya', 'ramah']",membantudokternya ramah
5,"Cukup membantu untuk pasien yang merantau / kos sendiri, jadi bisa konsultasi langsung tidak perlu repot-repot kedokter jika sakit",Cukup membantu untuk pasien yang merantau  kos sendiri jadi bisa konsultasi langsung tidak perlu repotrepot kedokter jika sakit,cukup membantu untuk pasien yang merantau  kos sendiri jadi bisa konsultasi langsung tidak perlu repotrepot kedokter jika sakit,cukup membantu untuk pasien yang merantau kos sendiri jadi bisa konsultasi langsung tidak perlu repotrepot kedokter jika sakit,"['cukup', 'membantu', 'untuk', 'pasien', 'yang', 'merantau', 'kos', 'sendiri', 'jadi', 'bisa', 'konsultasi', 'langsung', 'tidak', 'perlu', 'repotrepot', 'kedokter', 'jika', 'sakit']","['membantu', 'pasien', 'merantau', 'kos', 'konsultasi', 'langsung', 'repotrepot', 'kedokter', 'sakit']",bantu pasien rantau kos konsultasi langsung repotrepot dokter sakit
5,Nice,Nice,nice,nice,['nice'],['nice'],nice
1,PENIPU!! Pembayaran dengan VA gagal tp saldo terpotong. Habis itu dijanjikan lsg kembali ke SALDO halodoc (bkn pengembalian ke saldo bank kita) tapi sampai skrg gak balik2. Di IG cuma pencitraan suruh DM. Tp tdk ada tindak lanjut. Fix ini penipuan,PENIPU Pembayaran dengan VA gagal tp saldo terpotong Habis itu dijanjikan lsg kembali ke SALDO halodoc bkn pengembalian ke saldo bank kita tapi sampai skrg gak balik Di IG cuma pencitraan suruh DM Tp tdk ada tindak lanjut Fix ini penipuan,penipu pembayaran dengan va gagal tp saldo terpotong habis itu dijanjikan lsg kembali ke saldo halodoc bkn pengembalian ke saldo bank kita tapi sampai skrg gak balik di ig cuma pencitraan suruh dm tp tdk ada tindak lanjut fix ini penipuan,penipu pembayaran dengan va gagal tapi saldo terpotong habis itu dijanjikan langsung kembali ke saldo halodoc bukan pengembalian ke saldo bank kita tapi sampai sekarang tidak balik di ig cuma pencitraan suruh dm tapi tidak ada tindak lanjut fix ini penipuan,"['penipu', 'pembayaran', 'dengan', 'va', 'gagal', 'tapi', 'saldo', 'terpotong', 'habis', 'itu', 'dijanjikan', 'langsung', 'kembali', 'ke', 'saldo', 'halodoc', 'bukan', 'pengembalian', 'ke', 'saldo', 'bank', 'kita', 'tapi', 'sampai', 'sekarang', 'tidak', 'balik', 'di', 'ig', 'cuma', 'pencitraan', 'suruh', 'dm', 'tapi', 'tidak', 'ada', 'tindak', 'lanjut', 'fix', 'ini', 'penipuan']","['penipu', 'pembayaran', 'va', 'gagal', 'saldo', 'terpotong', 'habis', 'dijanjikan', 'langsung', 'saldo', 'halodoc', 'pengembalian', 'saldo', 'bank', 'ig', 'pencitraan', 'suruh', 'dm', 'tindak', 'fix', 'penipuan']",tipu bayar va gagal saldo potong habis janji langsung saldo halodoc kembali saldo bank ig citra suruh dm tindak fix tipu
5,Konsultasi sangat detail.. dokter yang berkompeten,Konsultasi sangat detail dokter yang berkompeten,konsultasi sangat detail dokter yang berkompeten,konsultasi sangat detail dokter yang berkompeten,"['konsultasi', 'sangat', 'detail', 'dokter', 'yang', 'berkompeten']","['konsultasi', 'detail', 'dokter', 'berkompeten']",konsultasi detail dokter kompeten
5,Pelayanan yg memuaskan diwaktu kapan pun anda membutuhkan konsultasi dengan dokter dapat diakses dengan mudah Terima kasih halodoc,Pelayanan yg memuaskan diwaktu kapan pun anda membutuhkan konsultasi dengan dokter dapat diakses dengan mudah Terima kasih halodoc,pelayanan yg memuaskan diwaktu kapan pun anda membutuhkan konsultasi dengan dokter dapat diakses dengan mudah terima kasih halodoc,pelayanan yang memuaskan diwaktu kapan pun anda membutuhkan konsultasi dengan dokter dapat diakses dengan mudah terima kasih halodoc,"['pelayanan', 'yang', 'memuaskan', 'diwaktu', 'kapan', 'pun', 'anda', 'membutuhkan', 'konsultasi', 'dengan', 'dokter', 'dapat', 'diakses', 'dengan', 'mudah', 'terima', 'kasih', 'halodoc']","['pelayanan', 'memuaskan', 'diwaktu', 'membutuhkan', 'konsultasi', 'dokter', 'diakses', 'mudah', 'terima', 'kasih', 'halodoc']",layan muas waktu butuh konsultasi dokter akses mudah terima kasih halodoc
5,"Keren banget aplikasi ini,sangat membantu di jam kapan pun Tanpa harus ke dokter dulu. Thanks",Keren banget aplikasi inisangat membantu di jam kapan pun Tanpa harus ke dokter dulu Thanks,keren banget aplikasi inisangat membantu di jam kapan pun tanpa harus ke dokter dulu thanks,keren banget aplikasi inisangat membantu di jam kapan pun tanpa harus ke dokter dulu thanks,"['keren', 'banget', 'aplikasi', 'inisangat', 'membantu', 'di', 'jam', 'kapan', 'pun', 'tanpa', 'harus', 'ke', 'dokter', 'dulu', 'thanks']","['keren', 'banget', 'aplikasi', 'inisangat', 'membantu', 'jam', 'dokter', 'thanks']",keren banget aplikasi inisangat bantu jam dokter thanks
5,"Baru pertama kali pakai konsul lewat halodoc ,ternyata semudah itu, layanan dokter nya pun sangat jelas.",Baru pertama kali pakai konsul lewat halodoc ternyata semudah itu layanan dokter nya pun sangat jelas,baru pertama kali pakai konsul lewat halodoc ternyata semudah itu layanan dokter nya pun sangat jelas,baru pertama kali pakai konsultasi lewat halodoc ternyata semudah itu layanan dokter ya pun sangat jelas,"['baru', 'pertama', 'kali', 'pakai', 'konsultasi', 'lewat', 'halodoc', 'ternyata', 'semudah', 'itu', 'layanan', 'dokter', 'ya', 'pun', 'sangat', 'jelas']","['kali', 'pakai', 'konsultasi', 'halodoc', 'semudah', 'layanan', 'dokter', 'ya']",kali pakai konsultasi halodoc mudah layan dokter ya
5,Alhamdulillah penanganan dokter nya cepat bangt...,Alhamdulillah penanganan dokter nya cepat bangt,alhamdulillah penanganan dokter nya cepat bangt,alhamdulillah penanganan dokter ya cepat banget,"['alhamdulillah', 'penanganan', 'dokter', 'ya', 'cepat', 'banget']","['alhamdulillah', 'penanganan', 'dokter', 'ya', 'cepat', 'banget']",alhamdulillah tangan dokter ya cepat banget
1,Ga jelas dokter sibuk duitnya ga di refund,Ga jelas dokter sibuk duitnya ga di refund,ga jelas dokter sibuk duitnya ga di refund,tidak jelas dokter sibuk duitnya tidak di refund,"['tidak', 'jelas', 'dokter', 'sibuk', 'duitnya', 'tidak', 'di', 'refund']","['dokter', 'sibuk', 'duitnya', 'refund']",dokter sibuk duit refund
2,"Kualitas dokter dan sesi konsultasinya beda jauh lah dibanding biru. Mana waktunya bentar doang, ga informatif (ga tanya ga dikasih tahu), dry text, ga lagi deh di sini....",Kualitas dokter dan sesi konsultasinya beda jauh lah dibanding biru Mana waktunya bentar doang ga informatif ga tanya ga dikasih tahu dry text ga lagi deh di sini,kualitas dokter dan sesi konsultasinya beda jauh lah dibanding biru mana waktunya bentar doang ga informatif ga tanya ga dikasih tahu dry text ga lagi deh di sini,kualitas dokter dan sesi konsultasinya beda jauh lah dibanding biru mana waktunya bentar doang tidak informatif tidak tanya tidak dikasih tahu dry text tidak lagi deh di sini,"['kualitas', 'dokter', 'dan', 'sesi', 'konsultasinya', 'beda', 'jauh', 'lah', 'dibanding', 'biru', 'mana', 'waktunya', 'bentar', 'doang', 'tidak', 'informatif', 'tidak', 'tanya', 'tidak', 'dikasih', 'tahu', 'dry', 'text', 'tidak', 'lagi', 'deh', 'di', 'sini']","['kualitas', 'dokter', 'sesi', 'konsultasinya', 'beda', 'dibanding', 'biru', 'bentar', 'doang', 'informatif', 'dikasih', 'dry', 'text', 'deh']",kualitas dokter sesi konsultasi beda banding biru bentar doang informatif kasih dry text deh
5,Tepat cepat mntap,Tepat cepat mntap,tepat cepat mntap,tepat cepat mntap,"['tepat', 'cepat', 'mntap']","['cepat', 'mntap']",cepat mntap
5,Berobat bisa dr rumah dan aman,Berobat bisa dr rumah dan aman,berobat bisa dr rumah dan aman,berobat bisa dari rumah dan aman,"['berobat', 'bisa', 'dari', 'rumah', 'dan', 'aman']","['berobat', 'rumah', 'aman']",obat rumah aman
5,"Puas tp harus cpet ngetiknya,,kalo gak waktu akan terbuang sia😁",Puas tp harus cpet ngetiknyakalo gak waktu akan terbuang sia,puas tp harus cpet ngetiknyakalo gak waktu akan terbuang sia,puas tapi harus cepat ngetiknyakalo tidak waktu akan terbuang sia,"['puas', 'tapi', 'harus', 'cepat', 'ngetiknyakalo', 'tidak', 'waktu', 'akan', 'terbuang', 'sia']","['puas', 'cepat', 'ngetiknyakalo', 'terbuang', 'sia']",puas cepat ngetiknyakalo buang sia
4,"Sedikit saran aja sih, untuk pengiriman ada baiknya lebih ditingkatkan/perbaharui lagi. Kasihan kami yang diluar jabodetabek membeli obat dihalodoc pengirimannya lama banget dan kurang update dari lacak pesanannya. Mohon diperbaiki lagi🙏",Sedikit saran aja sih untuk pengiriman ada baiknya lebih ditingkatkanperbaharui lagi Kasihan kami yang diluar jabodetabek membeli obat dihalodoc pengirimannya lama banget dan kurang update dari lacak pesanannya Mohon diperbaiki lagi,sedikit saran aja sih untuk pengiriman ada baiknya lebih ditingkatkanperbaharui lagi kasihan kami yang diluar jabodetabek membeli obat dihalodoc pengirimannya lama banget dan kurang update dari lacak pesanannya mohon diperbaiki lagi,sedikit saran saja sih untuk pengiriman ada baiknya lebih ditingkatkanperbaharui lagi kasihan kami yang diluar jabodetabek membeli obat dihalodoc pengirimannya lama banget dan kurang update dari lacak pesanannya mohon diperbaiki lagi,"['sedikit', 'saran', 'saja', 'sih', 'untuk', 'pengiriman', 'ada', 'baiknya', 'lebih', 'ditingkatkanperbaharui', 'lagi', 'kasihan', 'kami', 'yang', 'diluar', 'jabodetabek', 'membeli', 'obat', 'dihalodoc', 'pengirimannya', 'lama', 'banget', 'dan', 'kurang', 'update', 'dari', 'lacak', 'pesanannya', 'mohon', 'diperbaiki', 'lagi']","['saran', 'sih', 'pengiriman', 'baiknya', 'ditingkatkanperbaharui', 'kasihan', 'diluar', 'jabodetabek', 'membeli', 'obat', 'dihalodoc', 'pengirimannya', 'banget', 'update', 'lacak', 'pesanannya', 'mohon', 'diperbaiki']",saran sih kirim baik ditingkatkanperbaharui kasihan luar jabodetabek beli obat dihalodoc kirim banget update lacak pesan mohon baik
5,😃🫰,,,,[],[],
5,Penjelasan dokter detail dan sangat ramah,Penjelasan dokter detail dan sangat ramah,penjelasan dokter detail dan sangat ramah,penjelasan dokter detail dan sangat ramah,"['penjelasan', 'dokter', 'detail', 'dan', 'sangat', 'ramah']","['penjelasan', 'dokter', 'detail', 'ramah']",jelas dokter detail ramah
5,"waktu konsul dibantu oleh dokter atikah yang fastrespon banget, terimakasih halodoc dan dokter atikah🙏",waktu konsul dibantu oleh dokter atikah yang fastrespon banget terimakasih halodoc dan dokter atikah,waktu konsul dibantu oleh dokter atikah yang fastrespon banget terimakasih halodoc dan dokter atikah,waktu konsultasi dibantu oleh dokter atikah yang fastrespon banget terimakasih halodoc dan dokter atikah,"['waktu', 'konsultasi', 'dibantu', 'oleh', 'dokter', 'atikah', 'yang', 'fastrespon', 'banget', 'terimakasih', 'halodoc', 'dan', 'dokter', 'atikah']","['konsultasi', 'dibantu', 'dokter', 'atikah', 'fastrespon', 'banget', 'terimakasih', 'halodoc', 'dokter', 'atikah']",konsultasi bantu dokter ati fastrespon banget terimakasih halodoc dokter ati
5,Sangat membantu sekali apknya bagus bnget,Sangat membantu sekali apknya bagus bnget,sangat membantu sekali apknya bagus bnget,sangat membantu sekali apknya bagus banget,"['sangat', 'membantu', 'sekali', 'apknya', 'bagus', 'banget']","['membantu', 'apknya', 'bagus', 'banget']",bantu apknya bagus banget
